u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,junction,tunnel
253123982,253123981,0,272586202,True,3,055-10,Avenida 31,primary,60,84.157,"LINESTRING (-57.9736906 -34.9378025, -57.9738519 -34.9376913, -57.9743746 -34.9372944)",,
253123982,253438283,0,283708196,False,2,,Avenida 51,tertiary,60,141.249,"LINESTRING (-57.9736906 -34.9378025, -57.9735456 -34.9376708, -57.9726524 -34.9368595)",,
253123983,253438280,0,264543714,True,3,055-10,Avenida 31,primary,60,19.711,"LINESTRING (-57.9731547 -34.9382126, -57.9733153 -34.9380939)",,
253123983,199812087,0,272613799,True,,,Avenida 52,secondary,,63.514,"LINESTRING (-57.9731547 -34.9382126, -57.9732299 -34.9382786, -57.9735176 -34.9385376, -57.9735891 -34.9386543)",,
253123984,3992827825,0,530716609,True,3,055-10,Avenida 31,primary,60,22.637,"LINESTRING (-57.9728699 -34.9384189, -57.9730577 -34.9382857)",,
253123984,253438299,0,530716611,True,1,,Avenida 52,tertiary,40,23.289,"LINESTRING (-57.9728699 -34.9384189, -57.9728444 -34.9382105)",,
253123985,253123984,0,530716609,True,3,055-10,Avenida 31,primary,60,54.716,"LINESTRING (-57.9724138 -34.9387388, -57.9728699 -34.9384189)",,
253123985,253438286,0,23409162,False,2,,Avenida 53,residential,40,142.81400000000002,"LINESTRING (-57.9724138 -34.9387388, -57.9719552 -34.9383237, -57.9719127 -34.9381523, -57.9714735 -34.9377373)",,
253123986,253442008,0,530716608,True,,,Calle 54,residential,40,140.971,"LINESTRING (-57.9717769 -34.939224, -57.9707408 -34.9382828)",,
253123986,253123985,0,530716609,True,3,055-10,Avenida 31,primary,60,79.254,"LINESTRING (-57.9717769 -34.939224, -57.9724138 -34.9387388)",,
253123987,199812092,0,23378662,True,,,,primary_link,40,47.918,"LINESTRING (-57.9715111 -34.9394133, -57.9716396 -34.9394389, -57.9716965 -34.9394712, -57.9717379 -34.939509, -57.9717833 -34.9395723, -57.9717783 -34.9397138)",,
253123987,253123986,0,287312535,True,3,055-10,Avenida 31,primary,60,32.096,"LINESTRING (-57.9715111 -34.9394133, -57.9716386 -34.9393207, -57.9717769 -34.939224)",,
253123988,253123987,0,278585074,True,2,055-10,Avenida 31,primary,60,53.004,"LINESTRING (-57.9710673 -34.9397213, -57.9715111 -34.9394133)",,
253123989,253442010,0,23144148,True,,,Calle 56,residential,40,137.502,"LINESTRING (-57.9702627 -34.9403093, -57.9692488 -34.9393937)",,
253123989,253123988,0,278585074,True,2,055-10,Avenida 31,primary,60,98.254,"LINESTRING (-57.9702627 -34.9403093, -57.9710673 -34.9397213)",,
253123990,253123989,0,278863440,True,2,055-10,Avenida 31,primary,60,111.977,"LINESTRING (-57.969362 -34.9409941, -57.9701264 -34.9404118, -57.9702627 -34.9403093)",,
253123991,253442012,0,287907830,True,,,Calle 58,residential,40,138.866,"LINESTRING (-57.9684221 -34.9417049, -57.9673968 -34.9407812)",,
253123991,253123990,0,287907733,True,2,055-10,Avenida 31,primary,60,116.562,"LINESTRING (-57.9684221 -34.9417049, -57.9693045 -34.9410372, -57.969362 -34.9409941)",,
253123992,253123991,0,272041943,True,2,055-10,Avenida 31,primary,60,125.28,"LINESTRING (-57.9674002 -34.9424582, -57.9683206 -34.941774, -57.9684221 -34.9417049)",,
253123994,253441900,0,23409345,True,1,,Avenida 60,secondary,60,141.423,"LINESTRING (-57.9661727 -34.9434021, -57.9651332 -34.9424579)",,
253123994,2760842191,0,272041973,True,3,055-10,Avenida 31,primary,60,15.385,"LINESTRING (-57.9661727 -34.9434021, -57.966298 -34.9433094)",,
253123995,253616939,0,308311788,True,,,Calle 61,residential,40,141.035,"LINESTRING (-57.9650799 -34.944211, -57.9640435 -34.9432692)",,
253123995,253123994,0,283708190,True,3,055-10,Avenida 31,primary,60,134.207,"LINESTRING (-57.9650799 -34.944211, -57.9657835 -34.9436903, -57.9661727 -34.9434021)",,
253123997,253617024,0,23195706,True,,,Calle 63,residential,40,140.252,"LINESTRING (-57.9628286 -34.9458777, -57.9617977 -34.9449413)",,
253123997,5429630273,0,308311804,True,3,055-10,Avenida 31,primary,60,137.534,"LINESTRING (-57.9628286 -34.9458777, -57.9633173 -34.9455159, -57.9637828 -34.9451713, -57.9639022 -34.9450853, -57.9639484 -34.9450487)",,
253123998,253123997,0,308311804,True,3,055-10,Avenida 31,primary,60,139.23,"LINESTRING (-57.9616949 -34.9467169, -57.9628286 -34.9458777)",,
253123999,199812109,0,283708349,True,,,Calle 65,residential,40,70.168,"LINESTRING (-57.9605609 -34.9475564, -57.960979 -34.9479623, -57.9610603 -34.9480366)",,
253123999,253123998,0,308311804,True,3,055-10,Avenida 31,primary,60,139.272,"LINESTRING (-57.9605609 -34.9475564, -57.9615503 -34.946824, -57.9616337 -34.9467622, -57.9616949 -34.9467169)",,
253124000,2760842414,0,285554552,True,3,055-10,Avenida 31,primary,60,13.577,"LINESTRING (-57.9593299 -34.9484676, -57.9594405 -34.9483858)",,
253124000,253617265,0,285554601,True,,,Avenida 66,secondary,,139.032,"LINESTRING (-57.9593299 -34.9484676, -57.958308 -34.9475393)",,
253124017,199812092,0,287312503,True,3,055-10,Avenida 31,primary,60,46.254,"LINESTRING (-57.9722484 -34.9395572, -57.9717783 -34.9397138)",,
253124017,253123986,0,23409351,True,,,Calle 54,residential,40,57.047,"LINESTRING (-57.9722484 -34.9395572, -57.9720305 -34.9394376, -57.9717769 -34.939224)",,
253397895,253397896,0,308311784,True,,,Calle 50,residential,40,138.592,"LINESTRING (-57.9579265 -34.922359, -57.958941 -34.9232872)",,
253397895,253397930,0,525223178,True,,,Calle 15,residential,40,89.583,"LINESTRING (-57.9579265 -34.922359, -57.9586559 -34.9218192)",,
253397896,253397897,0,308311784,True,,,Calle 50,residential,40,137.928,"LINESTRING (-57.958941 -34.9232872, -57.9599506 -34.924211)",,
253397896,2585195314,0,452275228,True,,,Calle 16,residential,40,74.184,"LINESTRING (-57.958941 -34.9232872, -57.9583373 -34.9237345)",,
253397897,253397898,0,308311784,True,,,Calle 50,residential,40,139.417,"LINESTRING (-57.9599506 -34.924211, -57.9609712 -34.9251447)",,
253397897,253397932,0,548452205,True,,,Calle 17,residential,40,90.729,"LINESTRING (-57.9599506 -34.924211, -57.9606878 -34.9236629)",,
253397898,253397899,0,308311784,True,,,Calle 50,residential,40,135.402,"LINESTRING (-57.9609712 -34.9251447, -57.9619623 -34.9260516)",,
253397898,253397933,0,453728754,True,,,Calle 18,residential,40,91.295,"LINESTRING (-57.9609712 -34.9251447, -57.9617137 -34.9245938)",,
253397899,2761285648,0,287312863,True,2,,Calle 50,secondary,40,14.687,"LINESTRING (-57.9619623 -34.9260516, -57.9620944 -34.9261272)",,
253397899,253397934,0,283708188,True,1,,Avenida 19,secondary,60,91.861,"LINESTRING (-57.9619623 -34.9260516, -57.9626009 -34.9255776, -57.9627092 -34.9254971)",,
253397900,2760842107,0,270886976,True,2,,Calle 20,secondary,40,76.523,"LINESTRING (-57.9631027 -34.9270424, -57.9624807 -34.9275045)",,
253397900,253397901,0,270886977,True,,,Calle 50,residential,40,139.34,"LINESTRING (-57.9631027 -34.9270424, -57.9641271 -34.9279724)",,
253397901,253397902,0,270886977,True,,,Calle 50,residential,40,137.834,"LINESTRING (-57.9641271 -34.9279724, -57.9651405 -34.9288923)",,
253397901,253397936,0,452275234,True,,,Calle 21,residential,40,88.615,"LINESTRING (-57.9641271 -34.9279724, -57.9648473 -34.9274372)",,
253397902,253397913,0,270886977,True,,,Calle 50,residential,40,135.608,"LINESTRING (-57.9651405 -34.9288923, -57.9661376 -34.9297973)",,
253397902,2760842113,0,285554828,True,,,Calle 22,residential,40,76.404,"LINESTRING (-57.9651405 -34.9288923, -57.9645198 -34.929354)",,
253397913,253397914,0,270886977,True,,,Calle 50,residential,40,107.79,"LINESTRING (-57.9661376 -34.9297973, -57.9669301 -34.9305167)",,
253397913,253397938,0,270886984,True,,,Calle 23,residential,40,88.671,"LINESTRING (-57.9661376 -34.9297973, -57.9668581 -34.9292616)",,
253397914,253397915,0,270887000,True,2,,Calle 50,secondary,40,29.265,"LINESTRING (-57.9669301 -34.9305167, -57.9671469 -34.9307108)",,
253397915,253397939,0,23376102,True,,,Calle 24,residential,40,88.5,"LINESTRING (-57.9671469 -34.9307108, -57.9678673 -34.9301773)",,
253397915,253397916,0,270887000,True,2,,Calle 50,secondary,40,145.193,"LINESTRING (-57.9671469 -34.9307108, -57.9679935 -34.9314855, -57.9681274 -34.931608, -57.9682097 -34.9316833)",,
253397916,253397942,0,270887000,True,2,,Calle 50,secondary,40,5.464,"LINESTRING (-57.9682097 -34.9316833, -57.9682497 -34.9317199)",,
253397916,254340978,0,867788510,True,2,,Avenida 25,secondary,60,88.928,"LINESTRING (-57.9682097 -34.9316833, -57.9689339 -34.9311475)",,
253397917,253438431,0,270887000,True,2,,Calle 50,secondary,40,33.109,"LINESTRING (-57.9692528 -34.932638, -57.9694936 -34.9328609)",,
253397918,639647636,0,270886997,True,,,Calle 50,residential,40,140.218,"LINESTRING (-57.9702846 -34.9335794, -57.9713152 -34.9345155)",,
253397918,6127586046,0,285554842,True,,,Calle 27,residential,40,84.874,"LINESTRING (-57.9702846 -34.9335794, -57.9695954 -34.9340926)",,
253397920,253397921,0,270886997,True,,,Calle 50,residential,40,137.847,"LINESTRING (-57.9723224 -34.9354305, -57.9733357 -34.9363507)",,
253397920,253438282,0,283708311,True,,,Calle 29,residential,40,84.135,"LINESTRING (-57.9723224 -34.9354305, -57.9716386 -34.9359387)",,
253397921,253123981,0,270886997,True,,,Calle 50,residential,40,141.35,"LINESTRING (-57.9733357 -34.9363507, -57.9743746 -34.9372944)",,
253397921,253397947,0,460633748,True,,,Calle 30,residential,40,89.03,"LINESTRING (-57.9733357 -34.9363507, -57.9740587 -34.9358124)",,
253397923,253397950,0,719084440,True,,,Calle 15,residential,40,48.979,"LINESTRING (-57.9590618 -34.921544, -57.959445 -34.9212353)",,
253397923,4756736896,0,719084446,True,1,,Diagonal 73,secondary,40,69.296,"LINESTRING (-57.9590618 -34.921544, -57.9598208 -34.9215767)",,
253397925,253397926,0,285554712,True,1,,Diagonal 73,secondary,40,31.768,"LINESTRING (-57.9611849 -34.9216144, -57.9615327 -34.9216316)",,
253397925,2659553877,0,285554800,True,,,Calle 16,residential,40,19.038,"LINESTRING (-57.9611849 -34.9216144, -57.9611187 -34.9216618, -57.9610618 -34.9217026, -57.9610276 -34.921727)",,
253397926,2761285536,0,285554712,True,1,,Diagonal 73,secondary,40,163.833,"LINESTRING (-57.9615327 -34.9216316, -57.9633278 -34.9216985)",,
253397926,253398059,0,285554928,True,,,Calle 47,residential,40,22.377,"LINESTRING (-57.9615327 -34.9216316, -57.9613695 -34.9214813)",,
253397928,2659553886,0,37641079,True,2,,Diagonal 73,secondary,60,17.754,"LINESTRING (-57.9654929 -34.92194, -57.9652982 -34.921937)",,
253397928,9377026579,0,287312640,True,,,Calle 45,residential,40,12.314,"LINESTRING (-57.9654929 -34.92194, -57.9654012 -34.9218587)",,
253397929,3927891686,0,270886955,True,,,Calle 14,residential,40,60.331,"LINESTRING (-57.9576362 -34.9208939, -57.9571466 -34.9212589)",,
253397929,2761285472,0,719084441,True,,,Calle 49,residential,40,138.256,"LINESTRING (-57.9576362 -34.9208939, -57.9566267 -34.9199661)",,
253397930,4756736898,0,283708333,True,,,Calle 49,residential,40,29.149,"LINESTRING (-57.9586559 -34.9218192, -57.9584475 -34.9216204)",,
253397930,2659553873,0,525223178,True,,,Calle 15,residential,40,30.909,"LINESTRING (-57.9586559 -34.9218192, -57.9589182 -34.9216431)",,
253397931,253397930,0,283708333,True,,,Calle 49,residential,40,138.526,"LINESTRING (-57.9596746 -34.9227435, -57.9586559 -34.9218192)",,
253397931,253397896,0,452275228,True,,,Calle 16,residential,40,90.158,"LINESTRING (-57.9596746 -34.9227435, -57.958941 -34.9232872)",,
253397932,253397931,0,283708333,True,,,Calle 49,residential,40,137.785,"LINESTRING (-57.9606878 -34.9236629, -57.9596746 -34.9227435)",,
253397932,253397952,0,548452205,True,,,Calle 17,residential,40,96.743,"LINESTRING (-57.9606878 -34.9236629, -57.9614739 -34.9230785)",,
253397933,253397932,0,283708333,True,,,Calle 49,residential,40,139.509,"LINESTRING (-57.9617137 -34.9245938, -57.9606878 -34.9236629)",,
253397933,253397953,0,453728754,True,,,Calle 18,residential,40,96.654,"LINESTRING (-57.9617137 -34.9245938, -57.9624997 -34.9240105)",,
253397934,253397954,0,283708188,True,1,,Avenida 19,secondary,60,96.577,"LINESTRING (-57.9627092 -34.9254971, -57.9634943 -34.924914)",,
253397934,253397933,0,283708333,True,,,Calle 49,residential,40,135.373,"LINESTRING (-57.9627092 -34.9254971, -57.9617137 -34.9245938)",,
253397935,2761285647,0,283708333,True,,,Calle 49,residential,40,136.962,"LINESTRING (-57.9638227 -34.9265074, -57.9629257 -34.9256935, -57.9628155 -34.9255935)",,
253397935,253397900,0,285554820,True,,,Calle 20,residential,40,88.587,"LINESTRING (-57.9638227 -34.9265074, -57.9634325 -34.9267973, -57.9631027 -34.9270424)",,
253397936,253397935,0,283708333,True,,,Calle 49,residential,40,139.337,"LINESTRING (-57.9648473 -34.9274372, -57.9638227 -34.9265074)",,
253397936,253397956,0,452275234,True,,,Calle 21,residential,40,96.42200000000001,"LINESTRING (-57.9648473 -34.9274372, -57.9655681 -34.9269016, -57.965631 -34.9268549)",,
253397937,253397936,0,283708333,True,,,Calle 49,residential,40,137.802,"LINESTRING (-57.9658607 -34.9283567, -57.9648473 -34.9274372)",,
253397937,253397902,0,285554828,True,,,Calle 22,residential,40,88.644,"LINESTRING (-57.9658607 -34.9283567, -57.9651405 -34.9288923)",,
253397938,253397937,0,283708333,True,,,Calle 49,residential,40,135.618,"LINESTRING (-57.9668581 -34.9292616, -57.9658607 -34.9283567)",,
253397938,253397958,0,270886984,True,,,Calle 23,residential,40,96.24600000000001,"LINESTRING (-57.9668581 -34.9292616, -57.9675755 -34.9287281, -57.9676401 -34.9286801)",,
253397939,253398179,0,23376102,True,,,Calle 24,residential,40,21.915,"LINESTRING (-57.9678673 -34.9301773, -57.9680457 -34.9300452)",,
